priority	category	preferred_term	ontology_id	ontology_label	ontology_source	mapping_status	has_chebi_id	synonym_count	synonyms	filename	file_path
HIGH	Hydrated Salts (x notation)	(NH4)2Ni(SO4)2 x 6 H2O	CHEBI:86149	(NH4)2Ni(SO4)2 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Nh42ni_So42_X_6_H2o.yaml	data/ingredients/mapped/Nh42ni_So42_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	Al2(SO4)3 x 18 H2O	CHEBI:74779	Al2(SO4)3 x 18 H2O	CHEBI	MAPPED	True	0		Al2_So43_X_18_H2o.yaml	data/ingredients/mapped/Al2_So43_X_18_H2o.yaml
HIGH	Hydrated Salts (x notation)	AlCl3 x 6 H2O	CHEBI:30115	AlCl3 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Alcl3_X_6_H2o.yaml	data/ingredients/mapped/Alcl3_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	AlK(SO4)2 x 12 H2O	CHEBI:86465	AlK(SO4)2 x 12 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Alk_So42_X_12_H2o.yaml	data/ingredients/mapped/Alk_So42_X_12_H2o.yaml
HIGH	Hydrated Salts (x notation)	BaCl2 x 2 H2O	CHEBI:86153	BaCl2 x 2 H2O	CHEBI	MAPPED	True	0		Bacl2_X_2_H2o.yaml	data/ingredients/mapped/Bacl2_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	Ca(NO3)2 x 4 H2O	CHEBI:86159	Ca(NO3)2 x 4 H2O	CHEBI	MAPPED	True	0		Ca_No32_X_4_H2o.yaml	data/ingredients/mapped/Ca_No32_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaCl2 x 2 H2O	CHEBI:86158	CaCl2 x 2 H2O	CHEBI	MAPPED	True	5	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Defined component, Simple component, Inorganic compound|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Cacl2_X_2_H2o.yaml	data/ingredients/mapped/Cacl2_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaCl2 x 6 H2O	CHEBI:91243	CaCl2 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Cacl2_X_6_H2o.yaml	data/ingredients/mapped/Cacl2_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaCl2 x 7 H2O	CHEBI:3312	CaCl2 x 7 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Cacl2_X_7_H2o.yaml	data/ingredients/mapped/Cacl2_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaCl2 x H2O	CHEBI:3312	CaCl2 x H2O	CHEBI	MAPPED	True	0		Cacl2_X_H2o.yaml	data/ingredients/mapped/Cacl2_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaSO4 x 2 H2O	CHEBI:32583	CaSO4 x 2 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Caso4_X_2_H2o.yaml	data/ingredients/mapped/Caso4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaSO4 x 7 H2O	CHEBI:31346	CaSO4 x 7 H2O	CHEBI	MAPPED	True	0		Caso4_X_7_H2o.yaml	data/ingredients/mapped/Caso4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Cd(NO3)2 x 4 H2O	CHEBI:86156	Cd(NO3)2 x 4 H2O	CHEBI	MAPPED	True	0		Cd_No32_X_4_H2o.yaml	data/ingredients/mapped/Cd_No32_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	CeCl3 x 7 H2O	CHEBI:35458	CeCl3 x 7 H2O	CHEBI	MAPPED	True	0		Cecl3_X_7_H2o.yaml	data/ingredients/mapped/Cecl3_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Citric acid x H2O	CHEBI:31404	Citric acid x H2O	CHEBI	MAPPED	True	0		Citric_Acid_X_H2o.yaml	data/ingredients/mapped/Citric_Acid_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	Co(NO3)2 x 6 H2O	CHEBI:86214	Co(NO3)2 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Co_No32_X_6_H2o.yaml	data/ingredients/mapped/Co_No32_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	CoCl2 x 2 H2O	CHEBI:35696	CoCl2 x 2 H2O	CHEBI	MAPPED	True	0		Cocl2_X_2_H2o.yaml	data/ingredients/mapped/Cocl2_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	CoCl2 x 4 H2O	CHEBI:35696	CoCl2 x 4 H2O	CHEBI	MAPPED	True	0		Cocl2_X_4_H2o.yaml	data/ingredients/mapped/Cocl2_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	CoCl2 x 6 H2O	CHEBI:35696	CoCl2 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Cocl2_X_6_H2o.yaml	data/ingredients/mapped/Cocl2_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	CoSO4 x 7 H2O	CHEBI:53470	CoSO4 x 7 H2O	CHEBI	MAPPED	True	2	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Coso4_X_7_H2o.yaml	data/ingredients/mapped/Coso4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Cr(NO3)3 x 7 H2O	CHEBI:86206	Cr(NO3)3 x 7 H2O	CHEBI	MAPPED	True	0		Cr_No33_X_7_H2o.yaml	data/ingredients/mapped/Cr_No33_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Cu(NO3)2 x 3 H2O	CHEBI:78036	Cu(NO3)2 x 3 H2O	CHEBI	MAPPED	True	0		Cu_No32_X_3_H2o.yaml	data/ingredients/mapped/Cu_No32_X_3_H2o.yaml
HIGH	Hydrated Salts (x notation)	CuCl2 x 2 H2O	CHEBI:86318	CuCl2 x 2 H2O	CHEBI	MAPPED	True	2	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Cucl2_X_2_H2o.yaml	data/ingredients/mapped/Cucl2_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	CuCl2 x 5 H2O	CHEBI:91245	CuCl2 x 5 H2O	CHEBI	MAPPED	True	0		Cucl2_X_5_H2o.yaml	data/ingredients/mapped/Cucl2_X_5_H2o.yaml
HIGH	Hydrated Salts (x notation)	CuCl2 x 6 H2O	CHEBI:49553	CuCl2 x 6 H2O	CHEBI	MAPPED	True	0		Cucl2_X_6_H2o.yaml	data/ingredients/mapped/Cucl2_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	CuCl2 x H2O	CHEBI:49553	CuCl2 x H2O	CHEBI	MAPPED	True	0		Cucl2_X_H2o.yaml	data/ingredients/mapped/Cucl2_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	CuSO4 x 2 H2O	CHEBI:23414	CuSO4 x 2 H2O	CHEBI	MAPPED	True	0		Cuso4_X_2_H2o.yaml	data/ingredients/mapped/Cuso4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	CuSO4 x 4 H2O	CHEBI:23414	CuSO4 x 4 H2O	CHEBI	MAPPED	True	0		Cuso4_X_4_H2o.yaml	data/ingredients/mapped/Cuso4_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	CuSO4 x 5 H2O	CHEBI:31440	CuSO4 x 5 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Cuso4_X_5_H2o.yaml	data/ingredients/mapped/Cuso4_X_5_H2o.yaml
HIGH	Hydrated Salts (x notation)	CuSO4 x 6 H2O	CHEBI:91246	CuSO4 x 6 H2O	CHEBI	MAPPED	True	0		Cuso4_X_6_H2o.yaml	data/ingredients/mapped/Cuso4_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	CuSO4 x H2O	CHEBI:23414	CuSO4 x H2O	CHEBI	MAPPED	True	0		Cuso4_X_H2o.yaml	data/ingredients/mapped/Cuso4_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	Fe SO4 x 7 H2O	CHEBI:75836	Fe SO4 x 7 H2O	CHEBI	MAPPED	True	0		Fe_So4_X_7_H2o.yaml	data/ingredients/mapped/Fe_So4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Fe(III)PO4 x 4 H2O	CHEBI:131372	Fe(III)PO4 x 4 H2O	CHEBI	MAPPED	True	0		Fe_Iiipo4_X_4_H2o.yaml	data/ingredients/mapped/Fe_Iiipo4_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	Fe(NH4)2(SO4)2 x 6 H2O	CHEBI:76181		CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Fe_Nh42_So42_X_6_H2o.yaml	data/ingredients/mapped/Fe_Nh42_So42_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	Fe(NH4)2(SO4)2 x 6 H2O (0.1% w/v)	CHEBI:76181		CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Solution, Defined component	Fe_Nh42_So42_X_6_H2o_01_Wv.yaml	data/ingredients/mapped/Fe_Nh42_So42_X_6_H2o_01_Wv.yaml
HIGH	Hydrated Salts (x notation)	Fe(NH4)2(SO4)2 x 7 H2O	CHEBI:131378	Fe(NH4)2(SO4)2 x 7 H2O	CHEBI	MAPPED	True	0		Fe_Nh42_So42_X_7_H2o.yaml	data/ingredients/mapped/Fe_Nh42_So42_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	FeCl2 x 4 H2O	CHEBI:86249	FeCl2 x 4 H2O	CHEBI	MAPPED	True	3	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Defined component, Simple component, Inorganic compound|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Fecl2_X_4_H2o.yaml	data/ingredients/mapped/Fecl2_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	FeCl2 x 6 H2O	CHEBI:30812	FeCl2 x 6 H2O	CHEBI	MAPPED	True	0		Fecl2_X_6_H2o.yaml	data/ingredients/mapped/Fecl2_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	FeCl2 x 7 H2O	CHEBI:30812	FeCl2 x 7 H2O	CHEBI	MAPPED	True	0		Fecl2_X_7_H2o.yaml	data/ingredients/mapped/Fecl2_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	FeCl3 x 4 H2O	CHEBI:30808	FeCl3 x 4 H2O	CHEBI	MAPPED	True	0		Fecl3_X_4_H2o.yaml	data/ingredients/mapped/Fecl3_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	FeCl3 x 6 H2O	CHEBI:86254	FeCl3 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Fecl3_X_6_H2o.yaml	data/ingredients/mapped/Fecl3_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	FeSO4 x 5 H2O	CHEBI:75832	FeSO4 x 5 H2O	CHEBI	MAPPED	True	0		Feso4_X_5_H2o.yaml	data/ingredients/mapped/Feso4_X_5_H2o.yaml
HIGH	Hydrated Salts (x notation)	FeSO4 x 6 H2O	CHEBI:75832	FeSO4 x 6 H2O	CHEBI	MAPPED	True	0		Feso4_X_6_H2o.yaml	data/ingredients/mapped/Feso4_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	FeSO4 x 7 H2O	CHEBI:75836	FeSO4 x 7 H2O	CHEBI	MAPPED	True	5	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Defined component, Simple component, Inorganic compound|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Feso4_X_7_H2o.yaml	data/ingredients/mapped/Feso4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	FeSO4 x H2O	CHEBI:75834	FeSO4 x H2O	CHEBI	MAPPED	True	0		Feso4_X_H2o.yaml	data/ingredients/mapped/Feso4_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	K2HPO4 x 3 H2O	CHEBI:131527	K2HPO4 x 3 H2O	CHEBI	MAPPED	True	2	Role: Buffer; Properties: Inorganic compound, Defined component, Simple component|Role: Buffer; Properties: Simple component, Inorganic compound, Defined component	K2hpo4_X_3_H2o.yaml	data/ingredients/mapped/K2hpo4_X_3_H2o.yaml
HIGH	Hydrated Salts (x notation)	K2SO4 x 7 H2O	CHEBI:32036	K2SO4 x 7 H2O	CHEBI	MAPPED	True	0		K2so4_X_7_H2o.yaml	data/ingredients/mapped/K2so4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Maltose x H2O	CHEBI:17306	Maltose x H2O	CHEBI	MAPPED	True	0		Maltose_X_H2o.yaml	data/ingredients/mapped/Maltose_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	MgCl2 x 2 H2O	CHEBI:131394	MgCl2 x 2 H2O	CHEBI	MAPPED	True	0		Mgcl2_X_2_H2o.yaml	data/ingredients/mapped/Mgcl2_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	MgCl2 x 6 H2O	CHEBI:86345	MgCl2 x 6 H2O	CHEBI	MAPPED	True	5	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Defined component, Simple component, Inorganic compound|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Mgcl2_X_6_H2o.yaml	data/ingredients/mapped/Mgcl2_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	MgCl2 x H2O	CHEBI:86355	MgCl2 x H2O	CHEBI	MAPPED	True	0		Mgcl2_X_H2o.yaml	data/ingredients/mapped/Mgcl2_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	MgSO4 x 6 H2O	CHEBI:32599	MgSO4 x 6 H2O	CHEBI	MAPPED	True	0		Mgso4_X_6_H2o.yaml	data/ingredients/mapped/Mgso4_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	MgSO4 x 7 H2O	CHEBI:31795	MgSO4 x 7 H2O	CHEBI	MAPPED	True	5	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Defined component, Simple component, Inorganic compound|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Mgso4_X_7_H2o.yaml	data/ingredients/mapped/Mgso4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	MgSO4 x H2O	CHEBI:32599	MgSO4 x H2O	CHEBI	MAPPED	True	0		Mgso4_X_H2o.yaml	data/ingredients/mapped/Mgso4_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	MnCl2 x 4 H2O	CHEBI:86368	MnCl2 x 4 H2O	CHEBI	MAPPED	True	0		Mncl2_X_4_H2o.yaml	data/ingredients/mapped/Mncl2_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	MnSO4 x 1 H2O	CHEBI:86360	MnSO4 x 1 H2O	CHEBI	MAPPED	True	0		Mnso4_X_1_H2o.yaml	data/ingredients/mapped/Mnso4_X_1_H2o.yaml
HIGH	Hydrated Salts (x notation)	MnSO4 x 2 H2O	CHEBI:86356	MnSO4 x 2 H2O	CHEBI	MAPPED	True	0		Mnso4_X_2_H2o.yaml	data/ingredients/mapped/Mnso4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	MnSO4 x 4 H2O	CHEBI:86358	MnSO4 x 4 H2O	CHEBI	MAPPED	True	2	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Mnso4_X_4_H2o.yaml	data/ingredients/mapped/Mnso4_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	MnSO4 x 5 H2O	CHEBI:131524	MnSO4 x 5 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Mnso4_X_5_H2o.yaml	data/ingredients/mapped/Mnso4_X_5_H2o.yaml
HIGH	Hydrated Salts (x notation)	MnSO4 x 6 H2O	CHEBI:131523	MnSO4 x 6 H2O	CHEBI	MAPPED	True	0		Mnso4_X_6_H2o.yaml	data/ingredients/mapped/Mnso4_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	MnSO4 x 7 H2O	CHEBI:86360	MnSO4 x 7 H2O	CHEBI	MAPPED	True	0		Mnso4_X_7_H2o.yaml	data/ingredients/mapped/Mnso4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	MnSO4 x H2O	CHEBI:86364	MnSO4 x H2O	CHEBI	MAPPED	True	4	Role: Mineral source; Properties: Defined component, Simple component, Inorganic compound|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component|Role: Mineral source; Properties: Inorganic compound, Simple component, Defined component	Mnso4_X_H2o.yaml	data/ingredients/mapped/Mnso4_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2 MoO4 x 2 H2O	CHEBI:75213	Na2 MoO4 x 2 H2O	CHEBI	MAPPED	True	0		Na2_Moo4_X_2_H2o.yaml	data/ingredients/mapped/Na2_Moo4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2HAsO4 x 7 H2O	CHEBI:91257	Na2HAsO4 x 7 H2O	CHEBI	MAPPED	True	0		Na2haso4_X_7_H2o.yaml	data/ingredients/mapped/Na2haso4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2HPO4 x 12 H2O	CHEBI:34683	Na2HPO4 x 12 H2O	CHEBI	MAPPED	True	1	Role: Buffer; Properties: Inorganic compound, Defined component, Simple component	Na2hpo4_X_12_H2o.yaml	data/ingredients/mapped/Na2hpo4_X_12_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2HPO4 x 2 H2O	CHEBI:34683	Na2HPO4 x 2 H2O	CHEBI	MAPPED	True	1	Role: Buffer; Properties: Inorganic compound, Defined component, Simple component	Na2hpo4_X_2_H2o.yaml	data/ingredients/mapped/Na2hpo4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2HPO4 x 3 H2O	CHEBI:34683	Na2HPO4 x 3 H2O	CHEBI	MAPPED	True	1	Role: Buffer; Properties: Inorganic compound, Defined component, Simple component	Na2hpo4_X_3_H2o.yaml	data/ingredients/mapped/Na2hpo4_X_3_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2HPO4 x 6 H2O	CHEBI:34683	Na2HPO4 x 6 H2O	CHEBI	MAPPED	True	0		Na2hpo4_X_6_H2o.yaml	data/ingredients/mapped/Na2hpo4_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2HPO4 x 7 H2O	CHEBI:34683	Na2HPO4 x 7 H2O	CHEBI	MAPPED	True	0		Na2hpo4_X_7_H2o.yaml	data/ingredients/mapped/Na2hpo4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2HPO4 x H2O	CHEBI:34683	Na2HPO4 x H2O	CHEBI	MAPPED	True	0		Na2hpo4_X_H2o.yaml	data/ingredients/mapped/Na2hpo4_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2MoO4 x 2 H2O	CHEBI:75213	Na2MoO4 x 2 H2O	CHEBI	MAPPED	True	4	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component|Role: Mineral source; Properties: Inorganic compound, Simple component, Defined component	Na2moo4_X_2_H2o.yaml	data/ingredients/mapped/Na2moo4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2MoO4 x 7 H2O	CHEBI:86473	Na2MoO4 x 7 H2O	CHEBI	MAPPED	True	0		Na2moo4_X_7_H2o.yaml	data/ingredients/mapped/Na2moo4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2MoO4 x H2O	CHEBI:75215	Na2MoO4 x H2O	CHEBI	MAPPED	True	0		Na2moo4_X_H2o.yaml	data/ingredients/mapped/Na2moo4_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2MoSO4 x 2 H2O	CHEBI:75213		CHEBI	MAPPED	True	0		Na2moso4_X_2_H2o.yaml	data/ingredients/mapped/Na2moso4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2S x 9 H2O	CHEBI:76209	Na2S x 9 H2O	CHEBI	MAPPED	True	4	Role: Reducing agent; Properties: Defined component, Inorganic compound, Simple component|Role: Reducing agent; Properties: Defined component, Simple component, Inorganic compound|Role: Reducing agent; Properties: Inorganic compound, Defined component, Simple component	Na2s_X_9_H2o.yaml	data/ingredients/mapped/Na2s_X_9_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2S x H2O	CHEBI:76208	Na2S x H2O	CHEBI	MAPPED	True	0		Na2s_X_H2o.yaml	data/ingredients/mapped/Na2s_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2S2O3 x 5 H2O	CHEBI:32150	Na2S2O3 x 5 H2O	CHEBI	MAPPED	True	2	Properties: Defined component, Inorganic compound, Simple component|Properties: Inorganic compound, Simple component, Defined component	Na2s2o3_X_5_H2o.yaml	data/ingredients/mapped/Na2s2o3_X_5_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2SO3 x 5 H2O	CHEBI:86477	Na2SO3 x 5 H2O	CHEBI	MAPPED	True	0		Na2so3_X_5_H2o.yaml	data/ingredients/mapped/Na2so3_X_5_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2SO4 x 10 H2O	CHEBI:32586	Na2SO4 x 10 H2O	CHEBI	MAPPED	True	0		Na2so4_X_10_H2o.yaml	data/ingredients/mapped/Na2so4_X_10_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2SeO3 x 5 H2O	CHEBI:131361	Na2SeO3 x 5 H2O	CHEBI	MAPPED	True	2	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Na2seo3_X_5_H2o.yaml	data/ingredients/mapped/Na2seo3_X_5_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2SiO3 x 9 H2O	CHEBI:132108	Na2SiO3 x 9 H2O	CHEBI	MAPPED	True	0		Na2sio3_X_9_H2o.yaml	data/ingredients/mapped/Na2sio3_X_9_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na2WO4 x 2 H2O	CHEBI:63939	Na2WO4 x 2 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Na2wo4_X_2_H2o.yaml	data/ingredients/mapped/Na2wo4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	Na3-citrate x 2 H2O	CHEBI:32142		CHEBI	MAPPED	True	2	Role: Buffer; Properties: Defined component, Organic compound, Simple component|Role: Buffer; Properties: Organic compound, Defined component, Simple component	Na3-citrate_X_2_H2o.yaml	data/ingredients/mapped/Na3-citrate_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	NaH2PO4 x 2 H2O	CHEBI:37585	NaH2PO4 x 2 H2O	CHEBI	MAPPED	True	0		Nah2po4_X_2_H2o.yaml	data/ingredients/mapped/Nah2po4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	NaH2PO4 x H2O	CHEBI:37585	NaH2PO4 x H2O	CHEBI	MAPPED	True	1	Role: Buffer; Properties: Inorganic compound, Defined component, Simple component	Nah2po4_X_H2o.yaml	data/ingredients/mapped/Nah2po4_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	NaS2O3 x 5 H2O	CHEBI:32150		CHEBI	MAPPED	True	0		Nas2o3_X_5_H2o.yaml	data/ingredients/mapped/Nas2o3_X_5_H2o.yaml
HIGH	Hydrated Salts (x notation)	NaVO3 x H2O	CHEBI:132095	NaVO3 x H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Navo3_X_H2o.yaml	data/ingredients/mapped/Navo3_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	NiCl2 x 2 H2O	CHEBI:34887	NiCl2 x 2 H2O	CHEBI	MAPPED	True	0		Nicl2_X_2_H2o.yaml	data/ingredients/mapped/Nicl2_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	NiCl2 x 5 H2O	CHEBI:34887	NiCl2 x 5 H2O	CHEBI	MAPPED	True	0		Nicl2_X_5_H2o.yaml	data/ingredients/mapped/Nicl2_X_5_H2o.yaml
HIGH	Hydrated Salts (x notation)	NiCl2 x 6 H2O	CHEBI:34887	NiCl2 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Nicl2_X_6_H2o.yaml	data/ingredients/mapped/Nicl2_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	NiCl2 x H2O	CHEBI:34887	NiCl2 x H2O	CHEBI	MAPPED	True	0		Nicl2_X_H2o.yaml	data/ingredients/mapped/Nicl2_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	NiSO4 x 6 H2O	CHEBI:53001	NiSO4 x 6 H2O	CHEBI	MAPPED	True	0		Niso4_X_6_H2o.yaml	data/ingredients/mapped/Niso4_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	NiSO4 x 7 H2O	CHEBI:53001	NiSO4 x 7 H2O	CHEBI	MAPPED	True	0		Niso4_X_7_H2o.yaml	data/ingredients/mapped/Niso4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	SnCl2 x 2 H2O	CHEBI:78074	SnCl2 x 2 H2O	CHEBI	MAPPED	True	0		Sncl2_X_2_H2o.yaml	data/ingredients/mapped/Sncl2_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	SrCl2 x 6 H2O	CHEBI:36385	SrCl2 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Srcl2_X_6_H2o.yaml	data/ingredients/mapped/Srcl2_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	VOSO4 x 2 H2O	CHEBI:87009	VOSO4 x 2 H2O	CHEBI	MAPPED	True	2	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component|Role: Mineral source; Properties: Simple component, Defined component, Inorganic compound	Voso4_X_2_H2o.yaml	data/ingredients/mapped/Voso4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	VOSO4 x 5 H2O	CHEBI:132758	VOSO4 x 5 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Voso4_X_5_H2o.yaml	data/ingredients/mapped/Voso4_X_5_H2o.yaml
HIGH	Hydrated Salts (x notation)	ZnSO4 x 6 H2O	CHEBI:132762	ZnSO4 x 6 H2O	CHEBI	MAPPED	True	0		Znso4_X_6_H2o.yaml	data/ingredients/mapped/Znso4_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	ZnSO4 x 7 H2O	CHEBI:32312	ZnSO4 x 7 H2O	CHEBI	MAPPED	True	2	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Znso4_X_7_H2o.yaml	data/ingredients/mapped/Znso4_X_7_H2o.yaml
